Mejor fitness encontrado: 91651.0, con fenotipo: DRL
Mejor fitness encontrado: 95492.0, con fenotipo: DRL
Mejor fitness encontrado: 91651.0, con fenotipo: DRL
Mejor fitness encontrado: 95459.0, con fenotipo: DRL
Mejor fitness encontrado: 91636.0, con fenotipo: DRL
Mejor fitness encontrado: 95624.0, con fenotipo: DRL
Mejor fitness encontrado: 91431.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 95834.0, con fenotipo: DRL
Mejor fitness encontrado: 91431.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91435.0, con fenotipo: DRL
Mejor fitness encontrado: 91514.0, con fenotipo: DRL
Mejor fitness encontrado: 91800.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 95459.0, con fenotipo: DRL
Mejor fitness encontrado: 95492.0, con fenotipo: DRL
Mejor fitness encontrado: 95475.0, con fenotipo: DRL
Mejor fitness encontrado: 91419.0, con fenotipo: DRL
Mejor fitness encontrado: 91408.0, con fenotipo: DRL
Mejor fitness encontrado: 91692.0, con fenotipo: DRL
Mejor fitness encontrado: 95669.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91537.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 95444.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91819.0, con fenotipo: DRL
Mejor fitness encontrado: 91394.0, con fenotipo: LRD
Mejor fitness encontrado: 95492.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 91546.0, con fenotipo: DRL
Mejor fitness encontrado: 91633.0, con fenotipo: DRL
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91468.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 95669.0, con fenotipo: DRL
Mejor fitness encontrado: 95492.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 95492.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: DRL
Mejor fitness encontrado: 91660.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 91807.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91426.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 95483.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91649.0, con fenotipo: LRD
Mejor fitness encontrado: 95657.0, con fenotipo: DRL
Mejor fitness encontrado: 91482.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 99554.0, con fenotipo: LRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91365.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: DRL
Mejor fitness encontrado: 91816.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91438.0, con fenotipo: DRL
Mejor fitness encontrado: 91438.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 91426.0, con fenotipo: DRL
Mejor fitness encontrado: 91615.0, con fenotipo: DRL
Mejor fitness encontrado: 95669.0, con fenotipo: DRL
Mejor fitness encontrado: 91555.0, con fenotipo: DRL
Mejor fitness encontrado: 91514.0, con fenotipo: DRD
Mejor fitness encontrado: 95660.0, con fenotipo: LRD
Mejor fitness encontrado: 91480.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 91816.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91447.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 95669.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91498.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 95459.0, con fenotipo: DRL
Mejor fitness encontrado: 91420.0, con fenotipo: DRL
Mejor fitness encontrado: 95659.0, con fenotipo: LRD
Mejor fitness encontrado: 91468.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91459.0, con fenotipo: DRL
Mejor fitness encontrado: 99098.0, con fenotipo: URL
Mejor fitness encontrado: 99393.0, con fenotipo: LRL
Mejor fitness encontrado: 91615.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 95646.0, con fenotipo: LRD
Mejor fitness encontrado: 91662.0, con fenotipo: DRL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 91531.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91450.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 99462.0, con fenotipo: DRR
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91430.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 91632.0, con fenotipo: DRL
Mejor fitness encontrado: 91633.0, con fenotipo: DRL
Mejor fitness encontrado: 95624.0, con fenotipo: DRL
Mejor fitness encontrado: 95483.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91816.0, con fenotipo: DRL
Mejor fitness encontrado: 91465.0, con fenotipo: DRL
Mejor fitness encontrado: 95483.0, con fenotipo: DRL
Mejor fitness encontrado: 91648.0, con fenotipo: DRL
Mejor fitness encontrado: 99498.0, con fenotipo: LRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 95483.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91496.0, con fenotipo: LRD
Mejor fitness encontrado: 91466.0, con fenotipo: RDDRRRL
